"","dist","sex","id","road_residence_count","powerline_residence_count","move"
"280",3.90512483795333,"male","01",0,0,1
"200",38.4187454245971,"male","01",0,0,1
"201",32.8100594330458,"male","01",0,0,1
"204",131.126846984132,"male","01",0,0,1
"205",0,"male","01",0,0,0
"207",23.3773394551219,"male","01",0,0,1
"251",22.2092323145128,"male","01",0,0,1
"213",0,"male","01",0,0,0
"214",0,"male","01",0,0,0
"210",17.1172427686237,"male","01",0,0,1
"296",0,"male","01",0,0,0
"271",0,"male","01",0,0,0
"292",2.23606797749979,"male","01",0,0,1
"275",10.7935165724615,"male","01",0,0,1
"276",45.0693909432999,"male","01",0,0,1
"116",0,"male","01",0,0,0
"226",40.8044115262063,"male","01",0,0,1
"522",4.52769256906871,"male","02",0,0,1
"424",0,"male","02",0,0,0
"506",0,"male","02",0,0,0
"518",0,"male","02",0,0,0
"521",0,"male","02",0,0,0
"508",0,"male","02",0,0,0
"434",0,"male","02",0,0,0
"436",0,"male","02",0,0,0
"399",0,"male","02",0,0,0
"441",41.4849370253831,"male","02",0,0,1
"347",0,"male","02",1,0,0
"445",0,"male","02",1,0,0
"468",0,"male","02",1,0,0
"339",4.03112887414927,"male","02",1,0,1
"449",4.03112887414927,"male","02",1,0,1
"451",0,"male","02",1,0,0
"527",0,"male","02",1,0,0
"481",0,"male","02",1,0,0
"380",0,"male","02",1,0,0
"382",8,"male","02",1,0,1
"456",0,"male","02",1,0,0
"524",8,"male","02",1,0,1
"460",8,"male","02",1,0,1
"388",0,"male","02",1,0,0
"390",8,"male","02",1,0,1
"462",0,"male","02",1,0,0
"494",0,"male","02",1,0,0
"466",8,"male","02",1,0,1
"361",0,"male","02",1,0,0
"470",0,"male","02",1,0,0
"472",0,"male","02",1,0,0
"393",8,"male","02",1,0,1
"475",8,"male","02",1,0,1
"477",0,"male","02",1,0,0
"442",0,"male","02",1,0,0
"526",0,"male","02",1,0,0
"446",0,"male","02",1,0,0
"476",0,"male","02",1,0,0
"487",0,"male","02",1,0,0
"409",0,"male","02",1,0,0
"491",0,"male","02",1,0,0
"493",8,"male","02",1,0,1
"497",8,"male","02",1,0,1
"496",0,"male","02",1,0,0
"501",8,"male","02",1,0,1
"383",3,"male","02",1,0,1
"668",6.04152298679729,"female","10",0,0,1
"724",42.145581025773,"female","10",0,0,1
"699",0,"female","10",0,0,0
"690",0,"female","10",0,0,0
"669",0,"female","10",0,0,0
"694",1.4142135623731,"female","10",0,0,1
"670",1.4142135623731,"female","10",0,0,1
"673",15.2069063257455,"female","10",0,0,1
"741",9.3407708461347,"female","10",0,0,1
"676",50.7666228933933,"female","10",0,0,1
"679",10.5475115548645,"female","10",0,0,1
"666",46.5671558075002,"female","10",0,0,1
"683",0,"female","10",0,0,0
"672",0,"female","10",0,0,0
"688",0,"female","10",0,0,0
"691",0,"female","10",0,0,0
"692",35.9235298933721,"female","10",0,0,1
"667",0,"female","10",1,0,0
"684",0,"female","10",1,0,0
"726",2.82842712474619,"female","10",1,0,1
"701",2.82842712474619,"female","10",1,0,1
"675",0,"female","10",1,0,0
"677",0,"female","10",1,0,0
"674",0,"female","10",1,0,0
"695",0,"female","10",1,0,0
"697",0,"female","10",1,0,0
"782",0,"female","10",1,0,0
"784",0,"female","10",1,0,0
"744",0,"female","10",1,0,0
"678",0,"female","10",1,0,0
"680",0,"female","10",1,0,0
"682",0,"female","10",1,0,0
"671",0,"female","10",1,0,0
"686",0,"female","10",1,0,0
"715",12.2983738762488,"female","10",1,0,1
"718",47.6917183586417,"female","10",1,0,1
"720",1.80277563773199,"female","10",1,0,1
"681",0,"female","10",1,0,0
"696",0,"female","10",1,0,0
"685",0,"female","10",1,0,0
"687",5.09901951359278,"female","10",1,0,1
"689",67.7974925790032,"female","10",1,0,1
"712",73.900270635499,"female","10",0,0,1
"704",57.959037259085,"female","10",0,0,1
"693",10.770329614269,"female","10",0,0,1
"709",0,"female","10",0,0,0
"698",0,"female","10",0,0,0
"700",0,"female","10",0,0,0
"702",0,"female","10",0,0,0
"703",18.1727818453862,"female","10",0,0,1
"717",4.7169905660283,"female","10",0,0,1
"705",77.3078262532326,"female","10",0,0,1
"706",44.5785823013698,"female","10",0,0,1
"707",7.43303437365925,"female","10",0,0,1
"708",7.81024967590665,"female","10",0,0,1
"722",7.07106781186548,"female","10",0,0,1
"710",0,"female","10",0,0,0
"711",3,"female","10",0,0,1
"713",3.16227766016838,"female","10",0,0,1
"714",12.0415945787923,"female","10",0,0,1
"716",21.6910119634839,"female","10",0,0,1
"719",33.8378486313773,"female","10",0,0,1
"721",36.1005540123694,"female","10",0,0,1
"723",0,"female","10",0,0,0
"725",51.295711321708,"female","10",0,0,1
"727",31.4841229828623,"female","10",0,0,1
"729",26.9258240356725,"female","10",0,0,1
"730",147.709173716462,"female","10",0,0,1
"732",19.1441897190766,"female","10",0,0,1
"733",29.0387671914632,"female","10",0,0,1
"734",0,"female","10",0,0,0
"735",2.23606797749979,"female","10",0,0,1
"736",11.4127122105133,"female","10",0,0,1
"737",0,"female","10",0,0,0
"738",0,"female","10",0,0,0
"739",22.1415898254845,"female","10",0,0,1
"740",42.573465914816,"female","10",0,0,1
"781",9.01387818865997,"female","10",0,0,1
"742",0,"female","10",0,0,0
"747",8.73212459828649,"female","10",0,0,1
"750",2.23606797749979,"female","10",0,0,1
"753",0,"female","10",0,0,0
"756",0,"female","10",0,0,0
"758",4.92442890089805,"female","10",0,0,1
"762",4.92442890089805,"female","10",0,0,1
"764",0,"female","10",0,0,0
"728",0,"female","10",0,0,0
"731",37.030392922571,"female","10",0,0,1
"774",20.5243757517738,"female","10",0,0,1
"777",13.5830777072061,"female","10",0,0,1
"778",4,"female","10",0,0,1
"743",24.5814971065637,"female","10",0,0,1
"772",37.1651718682963,"female","10",0,0,1
"785",0,"female","10",0,0,0
"751",0,"female","10",0,0,0
"754",66.0302960768767,"female","10",0,0,1
"757",0,"female","10",1,0,0
"760",0,"female","10",1,0,0
"763",0,"female","10",1,0,0
"779",0,"female","10",1,0,0
"792",0,"female","10",1,0,0
"759",0,"female","10",1,0,0
"775",8.27647267862342,"female","10",1,0,1
"788",0,"female","10",1,0,0
"794",0,"female","10",1,0,0
"786",6.04152298679729,"female","10",1,0,1
"748",13.865424623862,"female","10",0,0,1
"791",49.0407993409569,"female","10",1,0,1
"780",17.5,"female","10",1,0,1
"783",0,"female","10",1,0,0
"787",33.5596483890997,"female","10",1,0,1
"796",0,"female","10",1,0,0
"789",3.35410196624968,"female","10",1,0,1
"768",31.976553910639,"female","10",0,0,1
"771",5.02493781056044,"female","10",1,0,1
"795",41.0274298488219,"female","10",1,0,1
"793",0,"female","10",1,0,0
"770",0,"female","10",1,0,0
"745",0,"female","10",1,0,0
"749",0,"female","10",1,0,0
"752",0,"female","10",1,0,0
"755",0,"female","10",1,0,0
"746",0,"female","10",1,0,0
"761",22.6384628453435,"female","10",1,0,1
"790",3.60555127546399,"female","10",1,0,1
"765",3.60555127546399,"female","10",1,0,1
"769",20.6155281280883,"female","10",1,0,1
"773",23.3452350598575,"female","10",1,0,1
"797",2.23606797749979,"female","10",1,0,1
"776",63.6945837571767,"female","10",1,0,1
"766",0,"female","10",0,0,0
"821",5.65685424949238,"female","13",0,0,1
"824",0,"female","13",0,0,0
"866",0,"female","13",0,0,0
"800",0,"female","13",0,0,0
"831",0,"female","13",0,0,0
"811",47.4341649025257,"female","13",0,0,1
"825",0,"female","13",1,0,0
"840",0,"female","13",1,0,0
"886",0,"female","13",1,0,0
"805",0,"female","13",1,0,0
"890",0,"female","13",1,0,0
"852",0,"female","13",1,0,0
"855",0,"female","13",1,0,0
"888",0,"female","13",1,0,0
"902",0,"female","13",1,0,0
"905",0,"female","13",1,0,0
"804",0,"female","13",1,0,0
"807",0,"female","13",1,0,0
"833",0,"female","13",1,0,0
"836",0,"female","13",1,0,0
"839",0,"female","13",1,0,0
"842",7.64852927038918,"female","13",1,0,1
"820",18.0623918681884,"female","13",1,0,1
"848",20.4022057631032,"female","13",0,0,1
"813",0,"female","13",1,0,0
"816",0,"female","13",1,0,0
"859",0,"female","13",1,0,0
"822",0,"female","13",1,0,0
"864",0,"female","13",1,0,0
"827",0,"female","13",1,0,0
"830",0,"female","13",1,0,0
"845",0,"female","13",1,0,0
"837",0,"female","13",1,0,0
"838",0,"female","13",1,0,0
"801",31.9061122670876,"female","13",1,0,1
"846",29.1547594742265,"female","13",1,0,1
"847",47.6366455578056,"female","13",1,0,1
"815",93.1946886898604,"female","13",1,0,1
"895",0,"female","13",0,0,0
"856",0,"female","13",0,0,0
"861",0,"female","13",0,0,0
"823",0,"female","13",0,0,0
"865",15.4029218007494,"female","13",0,0,1
"828",0,"female","13",0,0,0
"872",0,"female","13",0,0,0
"875",0,"female","13",0,0,0
"877",0,"female","13",0,0,0
"841",0,"female","13",0,0,0
"843",0,"female","13",0,0,0
"887",0,"female","13",0,0,0
"809",0,"female","13",0,0,0
"853",87.7567661209094,"female","13",0,0,1
"896",248.306765916678,"female","13",0,0,1
"858",42.3615391599503,"female","13",0,0,1
"900",0,"female","13",0,0,0
"966",0,"female","13",0,0,0
"947",0,"female","13",0,0,0
"934",0,"female","13",0,0,0
"906",0,"female","13",0,0,0
"868",0,"female","13",0,0,0
"871",0,"female","13",0,0,0
"912",0,"female","13",0,0,0
"874",1.5,"female","13",0,0,1
"808",0,"female","13",0,0,0
"878",0,"female","13",0,0,0
"880",0,"female","13",0,0,0
"910",2.82842712474619,"female","13",0,0,1
"817",3.16227766016838,"female","13",0,0,1
"926",0,"female","13",0,0,0
"889",0,"female","13",0,0,0
"810",4.60977222864644,"female","13",0,0,1
"893",0,"female","13",0,0,0
"935",0,"female","13",0,0,0
"897",0,"female","13",0,0,0
"857",0,"female","13",0,0,0
"860",0,"female","13",0,0,0
"943",0,"female","13",0,0,0
"932",2.06155281280883,"female","13",0,0,1
"826",2.06155281280883,"female","13",0,0,1
"911",2.06155281280883,"female","13",0,0,1
"901",1.5,"female","13",0,0,1
"835",0,"female","13",0,0,0
"879",3.53553390593274,"female","13",0,0,1
"883",0,"female","13",0,0,0
"949",0,"female","13",0,0,0
"929",0,"female","13",0,0,0
"892",0,"female","13",0,0,0
"854",2.06155281280883,"female","13",0,0,1
"937",2.06155281280883,"female","13",0,0,1
"928",2.06155281280883,"female","13",0,0,1
"944",0,"female","13",0,0,0
"894",3,"female","13",0,0,1
"873",3.53553390593274,"female","13",0,0,1
"876",0,"female","13",0,0,0
"907",1.5,"female","13",0,0,1
"950",1.5,"female","13",0,0,1
"941",6.67083203206317,"female","13",0,0,1
"806",0,"female","13",0,0,0
"851",0,"female","13",0,0,0
"803",0,"female","13",0,0,0
"968",17.0293863659264,"male","14",0,0,1
"1001",0,"male","14",0,0,0
"974",0,"male","14",0,0,0
"1011",3.04138126514911,"male","14",0,0,1
"1003",37.1247895616931,"male","14",0,0,1
"998",2.5,"male","14",0,0,1
"978",2.5,"male","14",0,0,1
"1005",2.5,"male","14",0,0,1
"1015",0,"male","14",0,0,0
"992",2.5,"male","14",0,0,1
"985",2.5,"male","14",0,0,1
"983",1.4142135623731,"male","14",0,0,1
"981",0.5,"male","14",0,0,1
"1016",3,"male","14",0,0,1
"984",0,"male","14",0,0,0
"970",0,"male","14",0,0,0
"967",2.5,"male","14",0,0,1
"1014",2.5,"male","14",0,0,1
"986",0,"male","14",0,0,0
"977",0,"male","14",0,0,0
"972",0,"male","14",0,0,0
"1018",0,"male","14",0,0,0
"980",0,"male","14",0,0,0
"1007",0,"male","14",0,0,0
"979",0,"male","14",0,0,0
"975",0,"male","14",0,0,0
"1010",15.7003184681076,"male","14",0,0,1
"1017",46.7038542306735,"male","14",0,0,1
"1013",51.2079095453036,"male","14",0,0,1
"987",15.5322245670091,"male","14",0,0,1
"976",50.0449797682045,"male","14",0,0,1
"1008",29.1247317584214,"male","14",0,0,1
"996",64.2748006609122,"male","14",0,0,1
"988",78.6670197732188,"male","14",0,0,1
"973",10.4043260233424,"male","14",1,0,1
"1004",57.5782076831157,"male","14",1,0,1
"997",17.007351351695,"male","14",0,0,1
"999",30.3191358715911,"male","14",0,0,1
"994",3.60555127546399,"male","14",0,0,1
"982",0,"male","14",0,0,0
"1012",7.07106781186548,"male","14",0,0,1
"1006",0,"male","14",0,0,0
"990",3.60555127546399,"male","14",0,0,1
"991",1.58113883008419,"male","14",0,0,1
"969",0,"male","14",0,0,0
"993",0,"male","14",0,0,0
"971",0,"male","14",0,0,0
"1000",0,"male","14",0,0,0
"1002",0,"male","14",0,0,0
"1009",16.0312195418814,"male","14",0,0,1
"995",4.03112887414927,"male","14",0,0,1
"1047",46.1735855224608,"male","22",0,0,1
"1053",0,"male","22",1,0,0
"1033",0,"male","22",1,0,0
"1019",5,"male","22",1,0,1
"1049",0,"male","22",1,0,0
"1026",524.262577340783,"male","22",1,0,1
"1030",0,"male","22",1,0,0
"1028",19.0065778087482,"male","22",1,0,1
"1031",0,"male","22",0,1,0
"1022",0,"male","22",0,1,0
"1065",0,"male","22",0,1,0
"1050",0,"male","22",0,1,0
"1036",0,"male","22",0,1,0
"1062",0,"male","22",0,1,0
"1029",0,"male","22",0,1,0
"1058",0,"male","22",0,1,0
"1044",0,"male","22",0,1,0
"1057",0,"male","22",0,1,0
"1035",0,"male","22",0,1,0
"1063",0,"male","22",0,1,0
"1037",3.90512483795333,"male","22",0,1,1
"1034",3.90512483795333,"male","22",0,0,1
"1020",19.0065778087482,"male","22",0,1,1
"1048",0,"male","22",1,0,0
"1038",0,"male","22",1,0,0
"1054",0,"male","22",1,0,0
"1024",0,"male","22",1,0,0
"1045",0,"male","22",1,0,0
"1046",0,"male","22",1,0,0
"1039",1.58113883008419,"male","22",1,0,1
"1041",3.64005494464026,"male","22",1,0,1
"1032",7.81024967590665,"male","22",1,0,1
"1061",0,"male","22",1,0,0
"1056",0,"male","22",1,0,0
"1055",6.57647321898295,"male","22",1,0,1
"1051",0,"male","22",1,0,0
"1064",6.57647321898295,"male","22",1,0,1
"1060",6.57647321898295,"male","22",1,0,1
"1027",0,"male","22",1,0,0
"1021",0,"male","22",1,0,0
"1023",0,"male","22",1,0,0
"1059",8.13941029804985,"male","22",1,0,1
"1043",0,"male","22",0,0,0
"1040",6.57647321898295,"male","22",0,0,1
"1042",0,"male","22",1,0,0
"1145",0,"female","23",0,0,0
"1106",1.5,"female","23",0,0,1
"1070",15.2643375224737,"female","23",0,0,1
"1125",8.60232526704263,"female","23",0,0,1
"1080",1.4142135623731,"female","23",0,0,1
"1068",14.1155942134931,"female","23",0,0,1
"1081",0,"female","23",0,0,0
"1066",0,"female","23",0,0,0
"1113",0,"female","23",0,0,0
"1091",0,"female","23",0,0,0
"1069",0,"female","23",0,0,0
"1072",0,"female","23",0,0,0
"1112",14.7054411698527,"female","23",0,0,1
"1087",3.90512483795333,"female","23",0,0,1
"1134",0.5,"female","23",0,0,1
"1093",0.5,"female","23",0,0,1
"1115",7.15891053163818,"female","23",0,0,1
"1082",0,"female","23",0,0,0
"1121",0,"female","23",0,0,0
"1165",11.1018016555873,"female","23",0,0,1
"1127",14.1155942134931,"female","23",0,0,1
"1103",4.47213595499958,"female","23",0,0,1
